"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login functionality: User is login with invalid username and invalid password","","0","0","2","0","0"
"","Login functionality: User is able to login successfully","","0","0","2","0","0"
"","Shopping functionality: User is able to add and remove items from cart","","0","0","2","0","0"
"","reset functionality: User is able to reset application state - clear basket icon","","0","0","2","0","0"
"","Menu functionality: Resetapp state function","","0","0","2","0","0"
"","log out functionality: user is able to log out from aplication","","0","0","2","0","0"
"","Login functionality: As a User I can click login button","","0","0","1","0","0"
"","Login Btn is Clickable: As a User I can click all item add button","","0","0","1","0","0"
"","Shopping functionality: Shopping:User buy two items go checkout page","","0","0","2","0","0"
"","Checkout and customer form fields: Checkout complete message displayed","","0","0","2","0","0"
"","Login Btn is Clickable: As a User I can click login button","","0","0","1","0","0"
