"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 26 12:46:11 CEST 2023","Wed Jul 26 12:46:11 CEST 2023","1","","reset functionality: User is able to reset application state - clear basket icon","","","","",""
"passed","Thu Jul 27 20:25:33 CEST 2023","Thu Jul 27 20:25:33 CEST 2023","6","","Checkout and customer form fields: Checkout complete message displayed","","","","",""
"passed","Thu Jul 27 20:20:49 CEST 2023","Thu Jul 27 20:20:49 CEST 2023","0","","Login functionality: User is able to login successfully","","","","",""
"passed","Thu Jul 27 20:20:49 CEST 2023","Thu Jul 27 20:20:49 CEST 2023","0","","Login functionality: As a User I can click login button","","","","",""
"passed","Thu Jul 27 20:25:33 CEST 2023","Thu Jul 27 20:25:33 CEST 2023","0","","Login functionality: User is login with invalid username and invalid password","","","","",""
"passed","Thu Jul 27 20:25:33 CEST 2023","Thu Jul 27 20:25:33 CEST 2023","6","","Shopping functionality: Shopping:User buy two items go checkout page","","","","",""
"passed","Wed Jul 26 11:03:21 CEST 2023","Wed Jul 26 11:03:21 CEST 2023","0","","Login Btn is Clickable: As a User I can click login button","","","","",""
"passed","Thu Jul 27 20:20:49 CEST 2023","Thu Jul 27 20:20:49 CEST 2023","0","","Login functionality: User is login with invalid username and invalid password","","","","",""
"passed","Thu Jul 27 20:25:33 CEST 2023","Thu Jul 27 20:25:33 CEST 2023","1","","Login Btn is Clickable: As a User I can click all item add button","","","","",""
"passed","Thu Jul 27 20:25:33 CEST 2023","Thu Jul 27 20:25:33 CEST 2023","1","","log out functionality: user is able to log out from aplication","","","","",""
"passed","Wed Jul 26 12:46:08 CEST 2023","Wed Jul 26 12:46:08 CEST 2023","0","","log out functionality: user is able to log out from aplication","","","","",""
"passed","Thu Jul 27 20:25:33 CEST 2023","Thu Jul 27 20:25:33 CEST 2023","0","","Login functionality: As a User I can click login button","","","","",""
"passed","Thu Jul 27 20:25:33 CEST 2023","Thu Jul 27 20:25:33 CEST 2023","0","","Shopping functionality: User is able to add and remove items from cart","","","","",""
"passed","Wed Jul 26 11:18:16 CEST 2023","Wed Jul 26 11:18:16 CEST 2023","1","","Login Btn is Clickable: As a User I can click all item add button","","","","",""
"passed","Wed Jul 26 12:46:04 CEST 2023","Wed Jul 26 12:46:04 CEST 2023","0","","Checkout and customer form fields: Checkout complete message displayed","","","","",""
"passed","Thu Jul 27 20:25:33 CEST 2023","Thu Jul 27 20:25:33 CEST 2023","1","","reset functionality: User is able to reset application state - clear basket icon","","","","",""
"passed","Wed Jul 26 12:46:13 CEST 2023","Wed Jul 26 12:46:13 CEST 2023","0","","Shopping functionality: Shopping:User buy two items go checkout page","","","","",""
"passed","Wed Jul 26 12:46:13 CEST 2023","Wed Jul 26 12:46:13 CEST 2023","0","","Shopping functionality: User is able to add and remove items from cart","","","","",""
"passed","Thu Jul 27 20:25:33 CEST 2023","Thu Jul 27 20:25:33 CEST 2023","0","","Login functionality: User is able to login successfully","","","","",""
"passed","Thu Jul 27 20:25:33 CEST 2023","Thu Jul 27 20:25:33 CEST 2023","0","","Menu functionality: Resetapp state function","","","","",""
"passed","Wed Jul 26 12:46:10 CEST 2023","Wed Jul 26 12:46:10 CEST 2023","0","","Menu functionality: Resetapp state function","","","","",""
